"event_id","year","longitude","latitude","fatalities","event_type"
2254,1992,3.050556,36.763056,13,"state-based"
5480,1992,4.916667,36.666667,3,"state-based"
4776,1992,3.901389,36.38,1,"state-based"
4590,1992,1.967897,36.264055,1,"state-based"
5744,1992,2.827699,36.470039,3,"state-based"
1572,1992,2.749048,35.888887,2,"state-based"
4673,1993,3.144825,33.791542,5,"state-based"
2452,1993,3.222483,36.620405,1,"state-based"
6341,1993,3.222483,36.620405,3,"state-based"
6325,1993,3.916667,36.25,3,"state-based"
5018,1993,3,36.583333,3,"state-based"
5874,1993,3.682778,36.534444,5,"state-based"
2981,1993,1.533333,36.183333,4,"state-based"
3632,1993,3,28,3,"state-based"
2678,1993,6.614722,36.365,1,"state-based"
5487,1993,3.056935,36.777328,1,"state-based"
5693,1993,2.912142,36.574125,1,"state-based"
3483,1993,3.916667,36.25,2,"state-based"
3916,1993,3.333333,36.65,2,"state-based"
6419,1993,-0.641667,35.691111,2,"state-based"
5436,1993,5.766667,36.8,5,"state-based"
3372,1993,3.222483,36.620405,2,"state-based"
2755,1993,1.811111,35.607778,1,"state-based"
2804,1993,3.145,36.720278,4,"state-based"
6230,1993,3,36.083333,4,"state-based"
3251,1993,3.15,36.566667,4,"state-based"
3835,1993,3,36.083333,4,"state-based"
5132,1993,3.916667,36.25,6,"state-based"
3928,1993,3.916667,36.25,1,"state-based"
2670,1993,3,36.583333,2,"state-based"
5418,1993,2.865143,33.8,2,"state-based"
3315,1993,2.4475,36.589722,9,"state-based"
3673,1993,2.753926,36.264169,1,"state-based"
6411,1993,3.025844,36.767695,2,"state-based"
4090,1993,3.096064,36.666546,7,"state-based"
2477,1993,3.22879,36.757513,2,"state-based"
3843,1993,3.050556,36.763056,1,"state-based"
3891,1993,-0.5,34.833333,6,"state-based"
5862,1993,3.145,36.720278,1,"state-based"
5209,1993,2.749048,35.888887,8,"state-based"
2258,1993,3.15,36.566667,1,"state-based"
1588,1993,3.050556,36.763056,3,"state-based"
3316,1993,3.087845,36.728291,2,"state-based"
3567,1993,3.124631,36.736541,1,"state-based"
3680,1993,3.050556,36.763056,2,"state-based"
5081,1993,3.050556,36.763056,1,"state-based"
4635,1993,3,36.08,11,"state-based"
3888,1993,2.845995,35.705584,21,"state-based"
